timestamp,user,event,content
2017-02-14 06:04:26.420000,69p8rvw,LocationCollector,"{'gps_time': 1487048632999, 'dop': '140.0', 'geo_location': {'altitude': 123.22182772800606, 'longitude': 4.896173019595873, 'latitude': 50.78019471525278}, 'heading': 0, 'record_time': datetime.datetime(2017, 2, 14, 6, 4, 22, 244000), 'accuracy': 32, 'speed': 0}"
2017-02-14 06:04:29.259000,69p8rvw,LocationCollector,"{'gps_time': 1487048632999, 'dop': '140.0', 'geo_location': {'altitude': 123.22182772800606, 'longitude': 4.896173019595873, 'latitude': 50.78019471525278}, 'heading': 0, 'record_time': datetime.datetime(2017, 2, 14, 6, 4, 28, 167000), 'accuracy': 32, 'speed': 0}"
2017-02-14 06:04:37.805000,69p8rvw,LocationCollector,"{'gps_time': 1487048632999, 'dop': '140.0', 'geo_location': {'altitude': 123.22182772800606, 'longitude': 4.896173019595873, 'latitude': 50.78019471525278}, 'heading': 0, 'record_time': datetime.datetime(2017, 2, 14, 6, 4, 37, 392000), 'accuracy': 32, 'speed': 0}"
2017-02-14 06:04:37.845000,69p8rvw,LocationCollector,"{'gps_time': 1487048632999, 'dop': '140.0', 'geo_location': {'altitude': 123.22182772800606, 'longitude': 4.896173019595873, 'latitude': 50.78019471525278}, 'heading': 0, 'record_time': datetime.datetime(2017, 2, 14, 6, 4, 37, 583000), 'accuracy': 32, 'speed': 0}"
2017-02-14 06:04:38.753000,69p8rvw,LocationCollector,"{'gps_time': 1487048679999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.89677729203433, 'latitude': 50.77988848751437}, 'heading': 343.93115, 'record_time': datetime.datetime(2017, 2, 14, 6, 4, 38, 338000), 'accuracy': 400, 'speed': 0}"
2017-02-14 06:04:42.598000,69p8rvw,LocationCollector,"{'gps_time': 1487048679999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.89677729203433, 'latitude': 50.77988848751437}, 'heading': 343.93115, 'record_time': datetime.datetime(2017, 2, 14, 6, 4, 42, 585000), 'accuracy': 400, 'speed': 0}"
2017-02-14 06:04:47.596000,69p8rvw,LocationCollector,"{'gps_time': 1487048679999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.89677729203433, 'latitude': 50.77988848751437}, 'heading': 343.93115, 'record_time': datetime.datetime(2017, 2, 14, 6, 4, 47, 517000), 'accuracy': 400, 'speed': 0}"
2017-02-14 06:04:52.344000,69p8rvw,LocationCollector,"{'gps_time': 1487048679999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.89677729203433, 'latitude': 50.77988848751437}, 'heading': 343.93115, 'record_time': datetime.datetime(2017, 2, 14, 6, 4, 52, 333000), 'accuracy': 400, 'speed': 0}"
2017-02-14 06:05:01.362000,69p8rvw,LocationCollector,"{'gps_time': 1487048702999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.892953823416871, 'latitude': 50.783191407850985}, 'heading': 328.57724, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 1, 268000), 'accuracy': 128, 'speed': 0}"
2017-02-14 06:05:13.200000,69p8rvw,LocationCollector,"{'gps_time': 1487048702999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.892953823416871, 'latitude': 50.783191407850985}, 'heading': 328.57724, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 13, 19000), 'accuracy': 128, 'speed': 0}"
2017-02-14 06:05:13.966000,69p8rvw,LocationCollector,"{'gps_time': 1487048702999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.892953823416871, 'latitude': 50.783191407850985}, 'heading': 328.57724, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 13, 408000), 'accuracy': 128, 'speed': 0}"
2017-02-14 06:05:19.157000,69p8rvw,LocationCollector,"{'gps_time': 1487048702999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.892953823416871, 'latitude': 50.783191407850985}, 'heading': 328.57724, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 17, 593000), 'accuracy': 128, 'speed': 0}"
2017-02-14 06:05:27.341000,69p8rvw,LocationCollector,"{'gps_time': 1487048728999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896449867276323, 'latitude': 50.77941429509031}, 'heading': 346.19437, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 27, 315000), 'accuracy': 400, 'speed': 39.002808}"
2017-02-14 06:05:27.634000,69p8rvw,LocationCollector,"{'gps_time': 1487048728999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896449867276323, 'latitude': 50.77941429509031}, 'heading': 346.19437, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 27, 621000), 'accuracy': 400, 'speed': 39.002808}"
2017-02-14 06:05:28.016000,69p8rvw,LocationCollector,"{'gps_time': 1487048728999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896449867276323, 'latitude': 50.77941429509031}, 'heading': 346.19437, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 27, 971000), 'accuracy': 400, 'speed': 39.002808}"
2017-02-14 06:05:32.365000,69p8rvw,LocationCollector,"{'gps_time': 1487048728999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896449867276323, 'latitude': 50.77941429509031}, 'heading': 346.19437, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 32, 356000), 'accuracy': 400, 'speed': 39.002808}"
2017-02-14 06:05:32.560000,69p8rvw,LocationCollector,"{'gps_time': 1487048728999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896449867276323, 'latitude': 50.77941429509031}, 'heading': 346.19437, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 32, 403000), 'accuracy': 400, 'speed': 39.002808}"
2017-02-14 06:05:38.123000,69p8rvw,LocationCollector,"{'gps_time': 1487048728999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896449867276323, 'latitude': 50.77941429509031}, 'heading': 346.19437, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 37, 819000), 'accuracy': 400, 'speed': 39.002808}"
2017-02-14 06:05:41.420000,69p8rvw,LocationCollector,"{'gps_time': 1487048742999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.8939927450608645, 'latitude': 50.784003077324485}, 'heading': 344.6575, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 41, 401000), 'accuracy': 400, 'speed': 0}"
2017-02-14 06:05:43.428000,69p8rvw,LocationCollector,"{'gps_time': 1487048742999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.8939927450608645, 'latitude': 50.784003077324485}, 'heading': 344.6575, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 42, 769000), 'accuracy': 400, 'speed': 0}"
2017-02-14 06:05:47.970000,69p8rvw,LocationCollector,"{'gps_time': 1487048742999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.8939927450608645, 'latitude': 50.784003077324485}, 'heading': 344.6575, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 47, 954000), 'accuracy': 400, 'speed': 0}"
2017-02-14 06:05:53.178000,69p8rvw,LocationCollector,"{'gps_time': 1487048742999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.8939927450608645, 'latitude': 50.784003077324485}, 'heading': 344.6575, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 52, 980000), 'accuracy': 400, 'speed': 0}"
2017-02-14 06:05:57.241000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 57, 222000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:05:58.165000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '5.1', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 5, 58, 142000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:03.289000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 3, 268000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:08.413000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 8, 378000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:13.523000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 13, 500000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:13.584000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 13, 533000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:18.817000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 18, 785000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:24.178000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 24, 168000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:29.066000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 29, 28000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:29.138000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 29, 120000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:34.574000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 34, 514000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:39.575000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 39, 464000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:39.849000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 39, 586000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:44.816000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 44, 790000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:44.960000,69p8rvw,LocationCollector,"{'gps_time': 1487048758999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.893458441213201, 'latitude': 50.78561423006848}, 'heading': 343.84442, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 44, 816000), 'accuracy': 400, 'speed': 39.847656}"
2017-02-14 06:06:47.123000,69p8rvw,LocationCollector,"{'gps_time': 1487048807999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896271962220641, 'latitude': 50.77988621596037}, 'heading': 341.12427, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 46, 490000), 'accuracy': 250, 'speed': 68.96301}"
2017-02-14 06:06:50.557000,69p8rvw,LocationCollector,"{'gps_time': 1487048807999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896271962220641, 'latitude': 50.77988621596037}, 'heading': 341.12427, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 50, 88000), 'accuracy': 250, 'speed': 68.96301}"
2017-02-14 06:06:50.664000,69p8rvw,LocationCollector,"{'gps_time': 1487048807999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896271962220641, 'latitude': 50.77988621596037}, 'heading': 341.12427, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 50, 559000), 'accuracy': 250, 'speed': 68.96301}"
2017-02-14 06:06:55.321000,69p8rvw,LocationCollector,"{'gps_time': 1487048807999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896271962220641, 'latitude': 50.77988621596037}, 'heading': 341.12427, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 55, 305000), 'accuracy': 250, 'speed': 68.96301}"
2017-02-14 06:06:55.477000,69p8rvw,LocationCollector,"{'gps_time': 1487048807999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896271962220641, 'latitude': 50.77988621596037}, 'heading': 341.12427, 'record_time': datetime.datetime(2017, 2, 14, 6, 6, 55, 354000), 'accuracy': 250, 'speed': 68.96301}"
2017-02-14 06:07:00.364000,69p8rvw,LocationCollector,"{'gps_time': 1487048807999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.896271962220641, 'latitude': 50.77988621596037}, 'heading': 341.12427, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 0, 353000), 'accuracy': 250, 'speed': 68.96301}"
2017-02-14 06:07:05.341000,69p8rvw,LocationCollector,"{'gps_time': 1487048826999, 'dop': '140.0', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.890118223839936, 'latitude': 50.78745095529449}, 'heading': 331.49713, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 5, 326000), 'accuracy': 200, 'speed': 99.05871}"
2017-02-14 06:07:05.551000,69p8rvw,LocationCollector,"{'gps_time': 1487048826999, 'dop': '5.2', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.890118223839936, 'latitude': 50.78745095529449}, 'heading': 331.49713, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 5, 535000), 'accuracy': 200, 'speed': 99.05871}"
2017-02-14 06:07:10.633000,69p8rvw,LocationCollector,"{'gps_time': 1487048826999, 'dop': '2.3', 'geo_location': {'altitude': 121.92140892769861, 'longitude': 4.890118223839936, 'latitude': 50.78745095529449}, 'heading': 331.49713, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 10, 615000), 'accuracy': 200, 'speed': 99.05871}"
2017-02-14 06:07:14.738000,69p8rvw,LocationCollector,"{'gps_time': 1487048835999, 'dop': '4.7', 'geo_location': {'altitude': 121.91060016245694, 'longitude': 4.894734132202288, 'latitude': 50.785555616067434}, 'heading': 357.29803, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 14, 348000), 'accuracy': 200, 'speed': 0}"
2017-02-14 06:07:15.431000,69p8rvw,LocationCollector,"{'gps_time': 1487048835999, 'dop': '4.7', 'geo_location': {'altitude': 121.91060016245694, 'longitude': 4.894734132202288, 'latitude': 50.785555616067434}, 'heading': 357.29803, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 15, 420000), 'accuracy': 200, 'speed': 0}"
2017-02-14 06:07:20.393000,69p8rvw,LocationCollector,"{'gps_time': 1487048835999, 'dop': '4.7', 'geo_location': {'altitude': 121.91060016245694, 'longitude': 4.894734132202288, 'latitude': 50.785555616067434}, 'heading': 357.29803, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 20, 362000), 'accuracy': 200, 'speed': 0}"
2017-02-14 06:07:24.508000,69p8rvw,LocationCollector,"{'gps_time': 1487048845999, 'dop': '4.7', 'geo_location': {'altitude': 121.91687542293677, 'longitude': 4.895220722325341, 'latitude': 50.78783837713379}, 'heading': 1.1703594, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 24, 283000), 'accuracy': 200, 'speed': 50.865856}"
2017-02-14 06:07:25.557000,69p8rvw,LocationCollector,"{'gps_time': 1487048845999, 'dop': '4.7', 'geo_location': {'altitude': 121.91687542293677, 'longitude': 4.895220722325341, 'latitude': 50.78783837713379}, 'heading': 1.1703594, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 25, 467000), 'accuracy': 200, 'speed': 50.865856}"
2017-02-14 06:07:30.907000,69p8rvw,LocationCollector,"{'gps_time': 1487048845999, 'dop': '2.3', 'geo_location': {'altitude': 121.91687542293677, 'longitude': 4.895220722325341, 'latitude': 50.78783837713379}, 'heading': 1.1703594, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 30, 866000), 'accuracy': 200, 'speed': 50.865856}"
2017-02-14 06:07:34.244000,69p8rvw,LocationCollector,"{'gps_time': 1487048855999, 'dop': '2.3', 'geo_location': {'altitude': 121.68902969180456, 'longitude': 4.895234260514247, 'latitude': 50.78599501579725}, 'heading': 352.19275, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 34, 230000), 'accuracy': 96, 'speed': 46.618557}"
2017-02-14 06:07:35.719000,69p8rvw,LocationCollector,"{'gps_time': 1487048855999, 'dop': '2.6', 'geo_location': {'altitude': 121.68902969180456, 'longitude': 4.895234260514247, 'latitude': 50.78599501579725}, 'heading': 352.19275, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 35, 556000), 'accuracy': 96, 'speed': 46.618557}"
2017-02-14 06:07:40.728000,69p8rvw,LocationCollector,"{'gps_time': 1487048855999, 'dop': '2.3', 'geo_location': {'altitude': 121.68902969180456, 'longitude': 4.895234260514247, 'latitude': 50.78599501579725}, 'heading': 352.19275, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 40, 711000), 'accuracy': 96, 'speed': 46.618557}"
2017-02-14 06:07:44.290000,69p8rvw,LocationCollector,"{'gps_time': 1487048865999, 'dop': '2.3', 'geo_location': {'altitude': 121.38360277480291, 'longitude': 4.894693558685438, 'latitude': 50.78723384432215}, 'heading': 350.87967, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 44, 260000), 'accuracy': 192, 'speed': 0}"
2017-02-14 06:07:45.789000,69p8rvw,LocationCollector,"{'gps_time': 1487048865999, 'dop': '2.3', 'geo_location': {'altitude': 121.38360277480291, 'longitude': 4.894693558685438, 'latitude': 50.78723384432215}, 'heading': 350.87967, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 45, 776000), 'accuracy': 192, 'speed': 0}"
2017-02-14 06:07:50.968000,69p8rvw,LocationCollector,"{'gps_time': 1487048865999, 'dop': '2.3', 'geo_location': {'altitude': 121.38360277480291, 'longitude': 4.894693558685438, 'latitude': 50.78723384432215}, 'heading': 350.87967, 'record_time': datetime.datetime(2017, 2, 14, 6, 7, 50, 954000), 'accuracy': 192, 'speed': 0}"
